0:0:0:0:0:0:0:1 - - [21/Jun/2022:10:24:46 +0900] "GET /anafor/css/common.css?v=1655774686446 HTTP/1.1" 200 6308
0:0:0:0:0:0:0:1 - - [21/Jun/2022:10:24:49 +0900] "GET /anafor/shopList.my HTTP/1.1" 200 4555
0:0:0:0:0:0:0:1 - - [21/Jun/2022:10:24:49 +0900] "GET /anafor/css/common.css?v=1655774689235 HTTP/1.1" 200 6308
0:0:0:0:0:0:0:1 - - [21/Jun/2022:10:25:01 +0900] "GET /anafor/list.qu HTTP/1.1" 200 5475
0:0:0:0:0:0:0:1 - - [21/Jun/2022:10:25:01 +0900] "GET /anafor/css/common.css?v=1655774701549 HTTP/1.1" 200 6308
0:0:0:0:0:0:0:1 - - [21/Jun/2022:10:25:04 +0900] "GET /anafor/list.qu HTTP/1.1" 200 5475
0:0:0:0:0:0:0:1 - - [21/Jun/2022:10:25:04 +0900] "GET /anafor/css/common.css?v=1655774704783 HTTP/1.1" 200 6308
0:0:0:0:0:0:0:1 - - [21/Jun/2022:10:25:06 +0900] "GET /anafor/shopList.my HTTP/1.1" 200 4537
0:0:0:0:0:0:0:1 - - [21/Jun/2022:10:25:06 +0900] "GET /anafor/css/common.css?v=1655774706170 HTTP/1.1" 200 6308
0:0:0:0:0:0:0:1 - - [21/Jun/2022:10:25:07 +0900] "GET /anafor/list.qu HTTP/1.1" 200 5475
0:0:0:0:0:0:0:1 - - [21/Jun/2022:10:25:07 +0900] "GET /anafor/css/common.css?v=1655774707406 HTTP/1.1" 200 6308
0:0:0:0:0:0:0:1 - - [21/Jun/2022:10:25:11 +0900] "GET /anafor/mypage HTTP/1.1" 200 5740
0:0:0:0:0:0:0:1 - - [21/Jun/2022:10:25:11 +0900] "GET /anafor/css/common.css?v=1655774711744 HTTP/1.1" 200 6308
0:0:0:0:0:0:0:1 - - [21/Jun/2022:10:25:13 +0900] "GET /anafor/shopList.my HTTP/1.1" 200 4555
